x,y,qz,qw
1,0,0.71239,0.701784
0.990818,0.077739,0.78967,0.613532
0.964095,0.150818,0.854912,0.518773
0.922118,0.215264,0.907084,0.420951
0.868155,0.268275,0.946254,0.323424
0.805864,0.308391,0.973405,0.229091
0.738746,0.335383,0.990128,0.140168
0.669786,0.349962,0.998308,0.058141
0.60128,0.353423,-0.999869,0.016171
0.534826,0.347342,-0.996593,0.082477
0.471405,0.333333,-0.990029,0.140865
0.411507,0.312913,-0.98146,0.191666
0.355263,0.287414,-0.971913,0.235342
0.302548,0.257964,-0.962183,0.272404
0.253076,0.225492,-0.952875,0.303363
0.206459,0.190744,-0.944438,0.328688
0.162256,0.154314,-0.9372,0.348792
0.119992,0.116677,-0.931393,0.364014
0.079186,0.078211,-0.927178,0.374622
0.039351,0.039229,-0.924656,0.380804
0,0,-0.923884,0.382672
-0.039351,-0.039229,-0.92488,0.380259
-0.079186,-0.078211,-0.927622,0.373521
-0.119992,-0.116677,-0.932047,0.362337
-0.162256,-0.154314,-0.938046,0.34651
-0.206459,-0.190744,-0.945452,0.325762
-0.253076,-0.225492,-0.95402,0.299744
-0.302548,-0.257964,-0.963409,0.268035
-0.355263,-0.287414,-0.973153,0.230159
-0.411507,-0.312913,-0.982625,0.185604
-0.471405,-0.333333,-0.991,0.133861
-0.534826,-0.347342,-0.997223,0.074479
-0.60128,-0.353423,-0.999974,0.007152
-0.669786,-0.349962,0.997674,0.068168
-0.738746,-0.335383,0.988514,0.151131
-0.805864,-0.308391,0.970565,0.24084
-0.868155,-0.268275,0.941962,0.335719
-0.922118,-0.215264,0.901175,0.433456
-0.964095,-0.150818,0.847321,0.531081
-0.990818,-0.077739,0.780465,0.6252
-1,0,0.701784,0.71239
-0.990818,0.077739,0.613532,0.78967
-0.964095,0.150818,0.518773,0.854912
-0.922118,0.215264,0.420951,0.907084
-0.868155,0.268275,0.323424,0.946254
-0.805864,0.308391,0.229091,0.973405
-0.738746,0.335383,0.140168,0.990128
-0.669786,0.349962,0.058141,0.998308
-0.60128,0.353423,-0.016171,0.999869
-0.534826,0.347342,-0.082477,0.996593
-0.471405,0.333333,-0.140865,0.990029
-0.411507,0.312913,-0.191666,0.98146
-0.355263,0.287414,-0.235342,0.971913
-0.302548,0.257964,-0.272404,0.962183
-0.253076,0.225492,-0.303363,0.952875
-0.206459,0.190744,-0.328688,0.944438
-0.162256,0.154314,-0.348792,0.9372
-0.119992,0.116677,-0.364014,0.931393
-0.079186,0.078211,-0.374622,0.927178
-0.039351,0.039229,-0.380804,0.924656
0,0,-0.382672,0.923884
0.039351,-0.039229,-0.380259,0.92488
0.079186,-0.078211,-0.373521,0.927622
0.119992,-0.116677,-0.362337,0.932047
0.162256,-0.154314,-0.34651,0.938046
0.206459,-0.190744,-0.325762,0.945452
0.253076,-0.225492,-0.299744,0.95402
0.302548,-0.257964,-0.268035,0.963409
0.355263,-0.287414,-0.230159,0.973153
0.411507,-0.312913,-0.185604,0.982625
0.471405,-0.333333,-0.133861,0.991
0.534826,-0.347342,-0.074479,0.997223
0.60128,-0.353423,-0.007152,0.999974
0.669786,-0.349962,0.068168,0.997674
0.738746,-0.335383,0.151131,0.988514
0.805864,-0.308391,0.24084,0.970565
0.868155,-0.268275,0.335719,0.941962
0.922118,-0.215264,0.433456,0.901175
0.964095,-0.150818,0.531081,0.847321
0.990818,-0.077739,0.6252,0.780465
